Address,Services
"28138 North Tatum Boulevard, Cave Creek, AZ 85331 "," 
COVID Testing

DOT Physicals

Ear Aches & Ear Infections Treatment

Flu Shots

Lice Treatment

Sore & Strep Throat Treatment

Sports Physicals

TB Testing

UTI Treatment
"
"2010 South Dobson Road, Chandler, AZ 85286 "," 
COVID Testing

DOT Physicals

Ear Aches & Ear Infections Treatment

Flu Shots

Lice Treatment

Sore & Strep Throat Treatment

Sports Physicals

TB Testing

UTI Treatment
"
"2995 East Chandler Heights Road, Chandler, AZ 85249 "," 
COVID Testing

DOT Physicals

Ear Aches & Ear Infections Treatment

Flu Shots

Lice Treatment

Sore & Strep Throat Treatment

Sports Physicals

TB Testing

UTI Treatment
"
"5975 West Chandler Boulevard, Chandler, AZ 85226 "," 
COVID Testing

DOT Physicals

Ear Aches & Ear Infections Treatment

Flu Shots

Lice Treatment

Sore & Strep Throat Treatment

Sports Physicals

TB Testing

UTI Treatment
"
"3170 South Higley Road, Gilbert, AZ 85295 "," 
COVID Testing

DOT Physicals

Ear Aches & Ear Infections Treatment

Flu Shots

Lice Treatment

Sore & Strep Throat Treatment

Sports Physicals

TB Testing

UTI Treatment
"
"765 South Lindsay Road, Gilbert, AZ 85296 "," 
COVID Testing

DOT Physicals

Ear Aches & Ear Infections Treatment

Flu Shots

Lice Treatment

Sore & Strep Throat Treatment

Sports Physicals

TB Testing

UTI Treatment
"
"18591 North 59th Avenue, Glendale, AZ 85308 "," 
COVID Testing

DOT Physicals

Ear Aches & Ear Infections Treatment

Flu Shots

Lice Treatment

Sore & Strep Throat Treatment

Sports Physicals

TB Testing

UTI Treatment
"
"2840 North Dysart Road, Goodyear, AZ 85395 "," 
COVID Testing

DOT Physicals

Ear Aches & Ear Infections Treatment

Lice Treatment

Sore & Strep Throat Treatment

Sports Physicals

TB Testing

UTI Treatment
"
"5050 West Baseline Road, Laveen, AZ 85339 "," 
COVID Testing

Ear Aches & Ear Infections Treatment

Flu Shots

Lice Treatment

Sore & Strep Throat Treatment

Sports Physicals

TB Testing

UTI Treatment
"
"1212 South Greenfield Road, Mesa, AZ 85206 "," 
COVID Testing

DOT Physicals

Ear Aches & Ear Infections Treatment

Flu Shots

Lice Treatment

Sore & Strep Throat Treatment

Sports Physicals

TB Testing

UTI Treatment
"
"6015 East Brown Road, Mesa, AZ 85205 "," 
COVID Testing

DOT Physicals

Ear Aches & Ear Infections Treatment

Flu Shots

Lice Treatment

Sore & Strep Throat Treatment

Sports Physicals

TB Testing

UTI Treatment
"
"9950 East Guadalupe Road, Mesa, AZ 85212 "," 
COVID Testing

DOT Physicals

Ear Aches & Ear Infections Treatment

Flu Shots

Lice Treatment

Sore & Strep Throat Treatment

Sports Physicals

TB Testing

UTI Treatment
"
"10650 N. Oracle Road, Oro Valley, AZ 85737 "," 
COVID Testing

Ear Aches & Ear Infections Treatment

Flu Shots

Lice Treatment

Sore & Strep Throat Treatment

Sports Physicals

TB Testing

UTI Treatment
"
"8332 West Thunderbird Road, Peoria, AZ 85381 "," 
COVID Testing

DOT Physicals

Ear Aches & Ear Infections Treatment

Lice Treatment

Sore & Strep Throat Treatment

Sports Physicals

TB Testing

UTI Treatment
"
"10707 West Camelback Road, Phoenix, AZ 85037 "," 
COVID Testing

DOT Physicals

Ear Aches & Ear Infections Treatment

Flu Shots

Lice Treatment

Sore & Strep Throat Treatment

Sports Physicals

TB Testing

UTI Treatment
"
